player_id,general_rating,general_rd,general_n,hard_rating,hard_rd,hard_n,clay_rating,clay_rd,clay_n,grass_rating,grass_rd,grass_n,full_name
200414,2170.5,74.9,572,2133.8,124.1,224,2220.4,160.6,157,2117.5,191.3,57,Steffi Graf
200652,2074.4,81.9,653,2110.1,115.8,360,2059.9,161.4,154,1923.2,286.3,42,Monica Seles
200003,1988.9,93.8,546,2016.3,125.4,309,1985.2,171.5,142,1979.5,245.7,64,Justine Henin
200128,1931.9,94.1,890,1972.7,104.0,579,1910.2,299.6,137,1986.2,411.8,70,Lindsay Davenport
200001,1930.8,77.2,645,1954.3,92.1,379,1981.5,242.9,136,1732.0,235.8,34,Martina Hingis
200572,1926.2,80.7,422,1938.0,94.1,202,1915.0,225.4,119,1961.5,318.7,36,Gabriela Sabatini
214544,1891.1,67.2,539,1965.1,85.4,362,1754.6,128.6,123,1755.3,234.8,54,Aryna Sabalenka
200539,1890.8,76.2,562,1831.6,111.8,207,1825.3,154.2,129,2038.3,256.5,75,Jana Novotna
200077,1884.9,71.8,578,1886.9,93.7,299,1871.2,136.3,167,1902.6,218.6,61,Jennifer Capriati
200401,1856.7,71.6,227,1915.7,109.6,90,1715.8,187.8,57,1425.0,276.8,6,Manuela Maleeva Fragniere
200017,1851.8,69.2,830,1849.5,102.7,382,1906.7,118.6,321,1832.1,454.1,67,Arantxa Sanchez Vicario
200597,1847.4,107.6,446,1849.2,128.8,223,1884.0,187.7,111,1754.2,354.4,52,Mary Joe Fernandez
214981,1813.5,62.2,416,1856.1,80.8,276,1754.6,130.0,93,1692.6,272.1,47,Elena Rybakina
216347,1802.9,65.4,425,1782.8,88.3,264,1840.9,123.3,128,1834.5,249.1,33,Iga Swiatek
200096,1801.4,82.3,679,1802.0,94.9,306,1832.9,265.5,227,1731.4,305.1,39,Mary Pierce
221103,1800.6,62.8,381,1806.7,85.2,245,1812.4,119.0,103,1516.2,298.9,33,Coco Gauff
200081,1790.2,65.0,596,1797.1,95.7,269,1713.7,144.1,141,1713.0,219.5,44,Anke Huber
203094,1787.0,129.7,30,1799.1,132.2,30,1500.0,350.0,0,1500.0,350.0,0,Petra Russegger
259799,1780.9,59.3,174,1695.6,90.5,90,1908.0,103.3,70,1537.1,286.2,14,Mirra Andreeva
202494,1774.0,62.6,663,1756.1,89.2,443,1833.0,112.6,164,1591.6,266.3,53,Elina Svitolina
200065,1773.1,67.9,639,1856.4,96.6,339,1746.7,158.4,161,1708.4,177.4,63,Amelie Mauresmo
201364,1772.2,80.4,210,1798.4,86.5,149,1778.0,260.7,27,1566.3,293.0,19,Tatiana Golovin
260765,1756.1,221.4,5,1500.0,350.0,0,1785.9,223.0,5,1500.0,350.0,0,Alisa Oktiabreva
200108,1744.3,62.6,718,1828.8,73.2,423,1726.7,170.1,155,1690.1,373.3,61,Elena Dementieva
200097,1741.9,61.9,691,1751.9,90.9,270,1469.2,204.6,123,1897.3,187.4,129,Nathalie Tauziat
239475,1739.7,67.2,65,1787.7,85.2,50,1639.6,140.3,13,1507.1,339.6,2,Victoria Mboko
202014,1734.8,196.4,5,1746.6,198.7,5,1500.0,350.0,0,1500.0,350.0,0,Maria Eugenia Vento
201336,1734.1,72.1,462,1703.0,89.5,260,1786.1,161.9,137,1600.4,319.2,40,Dinara Safina
201474,1733.2,73.8,749,1741.0,96.5,532,1607.7,278.7,120,1755.0,179.5,93,Agnieszka Radwanska
200482,1731.1,78.9,367,1740.6,134.0,147,1700.3,131.1,132,1747.3,208.7,29,Judith Wiesner
202458,1731.0,71.0,267,1742.1,82.4,173,1663.7,155.7,52,1765.9,196.1,42,Ashleigh Barty
201421,1729.7,71.8,631,1740.9,104.0,428,1694.7,156.1,132,1638.0,236.6,64,Ana Ivanovic
214096,1728.0,65.7,253,1777.1,81.8,181,1630.6,153.9,51,1457.5,288.6,21,Karolina Muchova
200116,1727.5,121.3,492,1748.7,169.9,196,1739.7,168.7,128,1770.0,222.5,81,Natalia Zvereva
260664,1722.6,181.2,9,1500.0,350.0,0,1749.2,179.7,9,1500.0,350.0,0,Elizara Yaneva
